district,year,living_waste,living_recycle,living_incineration,living_landfill,industrial_waste,construction_waste,designated_waste,per_capita_living_waste,total_waste,total_recycle,total_incineration,total_landfill,household_waste,biz_nonbiz_waste,recycle_rate,incineration_rate,landfill_rate,total_recycle_rate,total_incineration_rate,total_landfill_rate
성북구,2021,136000,100565,31140,3620,3657,474185,3239,0.85,617081,578489,33596,4240,105587.8,30412.2,0.7394,0.229,0.0266,0.9375,0.0544,0.0069
성북구,2022,125909,85083,29930,3031,620,457253,3533,0.78,587314,543497,32556,3314,97443.8,28465.2,0.6757,0.2377,0.0241,0.9254,0.0554,0.0056
성북구,2023,123724,83204,38734,1421,5042,187081,3347,0.77,319194,275854,41316,1558,95430.1,28293.9,0.6725,0.3131,0.0115,0.8642,0.1294,0.0049
성북구,2024,117738,87203,28119,1972,8729,233845,3289,0.74,363601,330333,30494,2223,90715.8,27022.2,0.7407,0.2388,0.0167,0.9085,0.0839,0.0061
강북구,2020,88989,53419,32484,3086,702,215768,1351,0.78,306811,269137,33206,3741,70052.0,18937.0,0.6003,0.365,0.0347,0.8772,0.1082,0.0122
강북구,2021,94407,63804,25501,2504,386,266018,1604,0.85,362414,330263,26430,2726,74445.4,19961.6,0.6758,0.2701,0.0265,0.9113,0.0729,0.0075
강북구,2022,89627,61272,24914,2157,666,179543,1616,0.83,271453,241847,25819,2382,70464.6,19162.4,0.6836,0.278,0.0241,0.8909,0.0951,0.0088
강북구,2023,88886,62128,24499,2223,412,122666,1492,0.83,213456,185552,25244,2336,69987.7,18898.3,0.699,0.2756,0.025,0.8693,0.1183,0.0109
강북구,2024,83607,57254,24101,2252,45,163698,1760,0.79,249111,221877,24908,2312,65987.9,17619.1,0.6848,0.2883,0.0269,0.8907,0.1,0.0093
도봉구,2020,110126,72850,34579,2599,29365,331501,1426,0.92,472418,415475,35435,15274,88511.2,21614.8,0.6615,0.314,0.0236,0.8795,0.075,0.0323
도봉구,2021,91929,53467,35235,3095,282,239030,1476,0.79,332716,292520,36218,3793,73588.6,18340.4,0.5816,0.3833,0.0337,0.8792,0.1089,0.0114
도봉구,2022,94263,70069,20088,2597,1262,180679,1449,0.82,277653,252390,20920,2788,75469.6,18793.4,0.7433,0.2131,0.0276,0.909,0.0753,0.01
도봉구,2023,102431,58070,36818,2605,453,95230,1849,0.91,199963,153872,37931,3169,81201.1,21229.9,0.5669,0.3594,0.0254,0.7695,0.1897,0.0158
도봉구,2024,88094,61429,20306,2084,19,463209,1400,0.79,552721,525123,21057,2198,69688.3,18405.7,0.6973,0.2305,0.0237,0.9501,0.0381,0.004
노원구,2020,144500,102566,39196,1926,26478,228709,5946,0.75,405633,330938,41344,32387,116187.4,28312.6,0.7098,0.2713,0.0133,0.8159,0.1019,0.0798
노원구,2021,135900,95590,36352,3854,27013,229987,5808,0.72,398708,326801,39098,32148,107765.2,28134.8,0.7034,0.2675,0.0284,0.8196,0.0981,0.0806
노원구,2022,145778,106889,35346,3490,24876,388071,4716,0.79,563441,496384,37403,29107,116020.9,29757.1,0.7332,0.2425,0.0239,0.881,0.0664,0.0517
노원구,2023,140139,102671,33276,3815,38244,306861,2998,0.76,488241,421584,35593,30564,111041.4,29097.6,0.7326,0.2374,0.0272,0.8635,0.0729,0.0626
노원구,2024,150001,96090,41725,1856,26136,183808,3058,0.83,363003,281563,43501,27324,118164.4,31836.6,0.6406,0.2782,0.0124,0.7756,0.1198,0.0753
은평구,2020,139243,81603,19271,38299,1442,645555,2980,0.79,789221,725762,21066,42295,113590.6,25652.4,0.586,0.1384,0.2751,0.9196,0.0267,0.0536
은평구,2021,138304,83540,14275,40420,82,335679,3905,0.79,477969,419258,16714,41301,112409.4,25894.6,0.604,0.1032,0.2923,0.8772,0.035,0.0864
은평구,2022,128783,72461,16763,38861,35,349009,3336,0.75,481162,422105,18692,39645,104638.7,24144.3,0.5627,0.1302,0.3018,0.8773,0.0388,0.0824
은평구,2023,123761,74038,16353,33351,10304,258426,3455,0.72,395945,343488,18170,34071,100849.5,22911.5,0.5982,0.1321,0.2695,0.8675,0.0459,0.086
은평구,2024,127441,72827,24803,29811,12231,475666,3478,0.75,618816,560680,26930,31055,103260.2,24180.8,0.5715,0.1946,0.2339,0.9061,0.0435,0.0502
서대문구,2020,104413,64333,28780,11300,3438,172749,5909,0.88,286509,235557,34088,13788,75360.5,29052.5,0.6161,0.2756,0.1082,0.8222,0.119,0.0481
서대문구,2021,96768,57786,30403,8512,1383,260077,6565,0.84,364794,318891,36254,9116,69719.8,27048.2,0.5972,0.3142,0.088,0.8742,0.0994,0.025
서대문구,2022,107631,67206,29038,8326,172,155327,6317,0.92,269447,223141,34678,8513,77407.5,30223.5,0.6244,0.2698,0.0774,0.8281,0.1287,0.0316
서대문구,2023,97594,60677,31484,5433,4362,169900,6575,0.83,278431,231216,37180,5585,70401.7,27192.3,0.6217,0.3226,0.0557,0.8304,0.1335,0.0201
서대문구,2024,99837,63501,31947,4288,751,89839,5832,0.86,196258,154096,36786,4601,71959.0,27878.0,0.636,0.32,0.043,0.7852,0.1874,0.0234
마포구,2020,134108,79919,41798,12391,25041,434365,8820,0.96,602333,537557,43428,21283,75914.0,58194.0,0.5959,0.3117,0.0924,0.8925,0.0721,0.0353
마포구,2021,199008,79714,41372,10035,25993,283893,7809,1.44,516703,389226,42378,16665,113173.8,85834.2,0.4006,0.2079,0.0504,0.7533,0.082,0.0323
마포구,2022,152394,88134,42222,9994,25892,455696,7235,1.11,641217,568963,43096,16907,86918.9,65475.1,0.5783,0.2771,0.0656,0.8873,0.0672,0.0264
마포구,2023,135308,83318,43555,7586,34226,362155,2771,0.99,534459,472953,44600,15913,75980.6,59327.4,0.6158,0.3219,0.0561,0.8849,0.0834,0.0298
