gu,cluster_anchor,cluster_type,L1_work_home_ratio,L2_weekend_active_ratio,weekend_home_ratio,B1_avg_emp_per_biz,B2_office_emp_ratio_no_support,B3_consumption_tourism_emp_ratio,B4_life_service_emp_ratio,B5_industrial_logistics_emp_ratio,PC1_도시기능,PC2_도시기능
종로구,0,상업형,1.6396979285032238,0.7958121439654736,1.120581279599645,5.672325432415119,0.3076025373162422,0.2701902987181659,0.1581380465676586,0.1323244301391006,3.458148360118616,1.960962466513314
중구,0,상업형,2.0648276413440283,0.6297873045717178,1.0831572037445387,5.960833407851203,0.4104610461046105,0.2769001900190019,0.0744874487448745,0.1190969096909691,5.194559648499622,1.3445866389761345
용산구,0,상업형,1.1840485799033942,0.975406223403312,1.076226761678854,5.6567817907661375,0.3112259145490086,0.3446028280571704,0.1419105887131578,0.0841118529613363,1.9097816708135356,0.5049613047179241
성동구,3,혼합형,1.0926067614254849,0.9118190271518404,0.9825400011990632,5.119778932355338,0.264218522258647,0.2669246802604677,0.1505748098476294,0.2062798784218721,0.8297322947169682,-0.7151036515539927
광진구,2,유동집중형,0.937799653467564,1.0473812429106608,0.9828455440133084,3.76858387145217,0.1439968121139669,0.2981868898186889,0.2736481370790994,0.1819167164773859,-1.2896689852699603,0.22918481099561835
동대문구,2,유동집중형,0.982189126240442,0.9771352407184204,0.971601236139876,3.3786779197291845,0.1248292947385035,0.3177554059525525,0.2846162820222483,0.1792216526328069,-1.3317557177524952,0.3462418964056954
중랑구,2,유동집중형,0.8475494679888119,1.097253772313827,0.96745575164096,2.727116002267145,0.0769850273214579,0.2727123150064515,0.2681399759259419,0.3026403526243321,-2.305738590238317,0.31298197421014207
성북구,1,주거형,0.897531324792524,1.0215677171994126,0.9515206255995464,3.531199910013779,0.1224068868307677,0.2628590540960238,0.3672047335016285,0.1552164876207465,-2.0658344986512196,0.1890275413446734
강북구,2,유동집중형,0.8732873654570162,1.080638117432851,0.976904828650524,2.953736932438758,0.107577718496606,0.302778584823433,0.2940228731412271,0.1997437996883336,-2.0432615852200096,0.44331546827595864
도봉구,1,주거형,0.8661404142088589,1.0966679392911582,0.9788747457672086,3.165744327614832,0.1183587848215066,0.2499406895001685,0.3156192640503452,0.1946133579732041,-2.0666915813729254,0.4517558818357534
노원구,1,주거형,0.8891885251528489,1.0637694587151776,0.9711969963473344,3.430752481920216,0.1178874995277851,0.2600506214347777,0.3831891503909939,0.1590646367723169,-2.177915099279706,0.5668460672774428
은평구,1,주거형,0.8252559719615794,1.1059294748582151,0.9577936460613398,2.990469066023883,0.10155185991569,0.2982721082132765,0.3565293926900449,0.1680548478250799,-2.6219691918362016,0.3243771908067027
서대문구,1,주거형,1.0970063068564369,0.8692906712265216,0.9619368373646804,4.121469720387804,0.1702463138157334,0.2431858859626694,0.3602403477371516,0.1340492627631467,-0.7625249185486559,0.34726858406454475
마포구,3,혼합형,1.1112937208441027,0.9898764529904246,1.0409775440457574,4.901925820256776,0.3269407057111677,0.2619534376136777,0.1496762459076027,0.1244598035649327,1.256079747840363,0.042476510079326166
양천구,1,주거형,0.8790938571085919,1.0751838017299102,0.9699546587315464,3.457838983050848,0.1147677838367747,0.2632038478034434,0.3254472765149194,0.189755529685681,-2.0071777116888203,0.31136523701352214
강서구,3,혼합형,0.9650794731984068,0.9882992748959296,0.9706285298004868,5.156357756842818,0.2388395428308141,0.2227899863054023,0.1788712835805613,0.2555162351375219,0.08285851536897282,-0.9258765108820985
구로구,3,혼합형,0.978162058663058,0.9856529330806216,0.973747633782158,4.486301898441117,0.2774906035246459,0.2438095074268709,0.1675969965682437,0.1738627469531337,0.12123102903138594,-0.8413803010824344
금천구,3,혼합형,1.1645400660663414,0.8078143774160196,0.9546962851432512,5.360746458068945,0.3608537886872999,0.2005394392160667,0.0827166003686814,0.2414941302027748,1.8128246143386162,-1.6267362709508524
영등포구,0,상업형,1.2548428178556197,0.868183296389933,1.0260157912692018,5.968793005747592,0.3831485437222391,0.1880107144068084,0.102101063529199,0.1319793397303315,2.528386301840902,-0.5830289259576736
동작구,1,주거형,0.878186253871829,1.044681290751461,0.9494236011368884,3.964659305535377,0.2108011543218359,0.2604553158352801,0.3277174659887316,0.1020658696349228,-1.521579998149019,-0.41508451893407833
관악구,1,주거형,0.8352239686459475,1.0796866861974304,0.9442585410231475,3.339272910747006,0.1394069043396661,0.2876331045671069,0.3349980516433791,0.1524728224132583,-2.270604752738185,-0.1516207555680786
서초구,0,상업형,1.3536376063540074,0.8043136946931542,1.0180979947576398,6.854345895543098,0.3358098218750189,0.2122276453047599,0.1462268638950238,0.1454393810263189,2.737413230436854,-0.4646498309712785
강남구,0,상업형,1.415997841927504,0.7635919594346571,1.014391686251786,7.4659054962435745,0.3850163720405534,0.2635269599113407,0.1427829953220849,0.103728429356598,3.3512454053616603,-0.7465969972968473
송파구,3,혼합형,1.0083649800992178,1.0157119244878623,1.001868616014652,5.510946983161525,0.2638397496386722,0.2914750534526212,0.1494786129791325,0.2135309786308962,0.6457527184410949,-0.6789075022978037
강동구,2,유동집중형,0.8887900705314916,1.044317941054248,0.961435435640916,3.8668189605939465,0.1347964789980504,0.2687008920659302,0.2576475453417617,0.2129792638979145,-1.4632909060630768,-0.22636630702161284
