adstrd_code_se,gu,weekday_work_pop,weekday_home_pop,weekend_all_pop,weekend_active_pop,living_pop_avg,L1_work_home_ratio,L2_weekend_active_ratio,L2_weekend_all_ratio,weekend_home_ratio,biz_total,emp_total,B1_avg_emp_per_biz,B2_office_emp_ratio,B2_office_emp_ratio_no_support,B3_consumption_tourism_emp_ratio,B4_life_service_emp_ratio,B5_industrial_logistics_emp_ratio,public_admin_emp_ratio,food_accom_emp_ratio,food_accom_biz_ratio,consumption_total,log_consumption_total
11110,종로구,356622.6333870229,217492.88523683205,243718.45564250802,283804.62246233976,274742.7659195241,1.6396979285032238,0.7958121439654736,0.6834071447675443,1.120581279599645,46830,265635,5.672325432415119,0.3766032337606114,0.3076025373162422,0.2701902987181659,0.15813804656765862,0.13232443013910064,0.06238259265533533,0.09311272987369887,0.147939355114243,589762071000.0,27.102985023021336
11140,중구,387392.2956849873,187614.83424971375,203216.35924691506,243974.74971129806,263553.1021396858,2.0648276413440283,0.6297873045717178,0.5245751180662687,1.0831572037445387,67098,399960,5.960833407851203,0.4966121612161216,0.4104610461046105,0.2769001900190019,0.0744874487448745,0.1190969096909691,0.032893289328932894,0.0777952795279528,0.09910876628215447,7467965148000.0,29.64164367475206
11170,용산구,296535.86537522264,250442.3132701336,269532.71979807696,289242.9285492789,272364.8750315346,1.1840485799033942,0.9754062234033121,0.9089380114510697,1.076226761678854,27854,157564,5.6567817907661375,0.3918978954583534,0.31122591454900866,0.3446028280571704,0.14191058871315781,0.08411185296133634,0.03746414155517758,0.11182757482673707,0.1754146621670137,699893286000.0,27.27419371179835
11200,성동구,356220.38521377224,326027.9890168575,320335.5407195513,324808.5250972756,335217.0307624203,1.0926067614254849,0.9118190271518404,0.8992622376939883,0.9825400011990632,39264,201023,5.119778932355338,0.3511289752913846,0.264218522258647,0.26692468026046773,0.1505748098476294,0.20627987842187212,0.025076732513195008,0.06914134203548848,0.11473614506927465,260187585000.0,26.28466868859288
11215,광진구,342967.33444255724,365714.92980874685,359441.28914166667,359217.5530262019,355790.35707009333,0.9377996534675639,1.0473812429106608,1.048033596919326,0.9828455440133084,33295,125475,3.76858387145217,0.21456863917114963,0.14399681211396692,0.29818688981868896,0.2736481370790994,0.18191671647738594,0.031631799163179916,0.11570432357043235,0.15056314761976272,266508231000.0,26.308670965632583
11230,동대문구,338726.60686812975,344869.0255457061,335075.17152656254,330981.7045398237,339887.55651632516,0.982189126240442,0.9771352407184204,0.9892201106510987,0.971601236139876,43129,145719,3.3786779197291845,0.18889094764581146,0.12482929473850356,0.3177554059525525,0.2846162820222483,0.17922165263280698,0.02950198670043028,0.09068137991613996,0.11567622713255582,248544523000.0,26.23888783344064
11260,중랑구,302417.00332563615,356813.39526205475,345201.1715088141,331828.1977108974,334044.00014181464,0.8475494679888119,1.097253772313827,1.1414740828481422,0.9674557516409599,42344,115477,2.7271160022671452,0.11285364185075816,0.07698502732145796,0.2727123150064515,0.26813997592594196,0.30264035262433214,0.04365371459251626,0.08988802965092615,0.10353296807103722,184746525000.0,25.942250587401617
11290,성북구,387343.14443447837,431565.0426173346,410643.03933814104,395697.25183277245,409791.93605178734,0.897531324792524,1.0215677171994126,1.0601531103323916,0.9515206255995463,35561,125573,3.531199910013779,0.18279407197407085,0.12240688683076777,0.26285905409602384,0.3672047335016285,0.1552164876207465,0.03191768931219291,0.09880308665079277,0.13123927898540536,229183453000.0,26.157788624595327
11305,강북구,246977.08733632314,282813.07746513997,276281.46098120994,266892.8547081731,268130.5560957309,0.8732873654570162,1.080638117432851,1.118652195476665,0.976904828650524,25636,75722,2.953736932438758,0.15632180872137555,0.10757771849660601,0.30277858482343306,0.2940228731412271,0.19974379968833364,0.0471329336256306,0.12623808140302686,0.1466687470744266,164900736000.0,25.828609529819165
11320,도봉구,235126.91912366412,271465.1288249046,265730.35896314104,257856.15386722758,256829.27763232013,0.8661404142088589,1.0966679392911582,1.1301571081420123,0.9788747457672086,25298,80087,3.1657443276148314,0.1782311735987114,0.11835878482150661,0.24994068950016857,0.31561926405034524,0.19461335797320414,0.061595514877570645,0.08465793449623535,0.11012728278915329,139475608000.0,25.66115556987983
11350,노원구,438421.405958715,493057.8764310433,478856.32861522434,466379.30170584936,469466.7873471084,0.8891885251528489,1.0637694587151776,1.0922284407352068,0.9711969963473343,38579,132355,3.4307524819202158,0.16635563446790827,0.11788749952778513,0.2600506214347777,0.38318915039099394,0.1590646367723169,0.03130217974387065,0.09951267424728949,0.11379247777288162,338872572000.0,26.548889979858718
11380,은평구,373118.87273498724,452125.01988699107,433042.47127311694,412643.15898349363,418424.49985214026,0.8252559719615794,1.1059294748582151,1.1606018963846174,0.9577936460613398,36093,107935,2.990469066023883,0.12573308009450132,0.10155185991569,0.2982721082132765,0.3565293926900449,0.1680548478250799,0.05137351183582712,0.11287348867373882,0.1268944116587704,245662866000.0,26.227225969524355
11410,서대문구,379418.8239107824,345867.495509701,332702.6847778446,329825.2441133814,354135.4837731671,1.0970063068564369,0.8692906712265216,0.876874482263635,0.9619368373646804,28468,117330,4.121469720387804,0.21231569078667006,0.1702463138157334,0.2431858859626694,0.36024034773715163,0.1340492627631467,0.05020881275036223,0.10414216312963437,0.15241674863004076,336060617000.0,26.540557388379167
11440,마포구,463808.80063514627,417359.328083715,434461.6883331731,459113.4104384616,438844.3728109859,1.1112937208441027,0.9898764529904246,0.9367258399112203,1.0409775440457574,56080,274900,4.901925820256776,0.4411713350309203,0.3269407057111677,0.2619534376136777,0.14967624590760276,0.1244598035649327,0.02269552564568934,0.10261913423062932,0.16784950071326676,2694122014000.0,28.62209348390856
11470,양천구,336145.6093697519,382377.3839978372,370888.72500228364,361418.3142169872,362565.40855571494,0.8790938571085919,1.0751838017299102,1.1033573387963405,0.9699546587315464,37760,130568,3.4578389830508476,0.16674070216285766,0.1147677838367747,0.2632038478034434,0.32544727651491945,0.18975552968568102,0.05483732614423136,0.08937871453955028,0.10079449152542373,292702788000.0,26.40242355571334
