"district","food_total","home_prop","biz_prop"
"종로구",79.9,0.685857321652065,0.314142678347935
"중구",101.7,0.502458210422812,0.497541789577188
"용산구",63.2,0.72626582278481,0.27373417721519
"성동구",75.8,0.844327176781003,0.155672823218997
"광진구",83.4,0.81294964028777,0.18705035971223
"동대문구",85.8,0.869463869463869,0.130536130536131
"중랑구",79.9,0.901126408010012,0.100125156445557
"성북구",92.4,0.857142857142857,0.142857142857143
"강북구",60.6,0.879537953795379,0.118811881188119
"도봉구",74,0.812162162162162,0.187837837837838
"노원구",111.2,0.85431654676259,0.14568345323741
"은평구",72.6,0.826446280991736,0.173553719008264
"서대문구",61,0.827868852459016,0.172131147540984
"마포구",78.8,0.74746192893401,0.253807106598985
"양천구",82.1,0.859926918392205,0.141291108404385
"강서구",122.3,0.76369582992641,0.23630417007359
"구로구",77.4,0.754521963824289,0.245478036175711
"금천구",53.1,0.770244821092279,0.231638418079096
"영등포구",133.2,0.672672672672673,0.328078078078078
"동작구",78.8,0.836294416243655,0.163705583756345
"관악구",86,0.87906976744186,0.12093023255814
"서초구",138.1,0.608254887762491,0.391745112237509
"강남구",235.3,0.658308542286443,0.342116447088823
"송파구",187.3,0.699946609717031,0.300053390282969
"강동구",105.6,0.833333333333333,0.166666666666667
