자치구,거주인구,B1_평균규모,B2_오피스비,B3_소비관광비,B4_생활밀착비,L1_주야비,L2_주말비,L3_야간거주비,유형,kmeans_label
종로구,149608,5.672325432415119,0.3076025373162422,0.2701902987181659,0.15813804656765862,2.0022628,0.8164894,1.3233956614953746,상업형,2
중구,131214,5.960833407851203,0.4104610461046105,0.2769001900190019,0.0744874487448745,2.663637,0.6347602,1.2494861685871934,상업형,2
용산구,217194,5.6567817907661375,0.31122591454900866,0.3446028280571704,0.14191058871315781,1.2703444,0.9817967,1.1027760608027846,유동집중형,1
성동구,281289,5.119778932355338,0.264218522258647,0.26692468026046773,0.1505748098476294,1.125712,0.9054228,1.1419985317591517,혼합형,1
광진구,348652,3.76858387145217,0.14399681211396692,0.29818688981868896,0.2736481370790994,0.91509074,1.0604408,1.0493714900531188,유동집중형,0
동대문구,358603,3.3786779197291845,0.12482929473850356,0.3177554059525525,0.2846162820222483,0.9780694,0.97918427,0.9659320334743435,주거형,0
중랑구,385349,2.7271160022671452,0.07698502732145796,0.2727123150064515,0.26813997592594196,0.7899007,1.1023997,0.9501790098066947,혼합형,0
성북구,435037,3.531199910013779,0.12240688683076777,0.26285905409602384,0.3672047335016285,0.8635102,1.0119321,1.00648737923441,주거형,0
강북구,289374,2.953736932438758,0.10757771849660601,0.30277858482343306,0.2940228731412271,0.82365423,1.088627,1.0019349958876749,주거형,0
도봉구,306032,3.1657443276148314,0.11835878482150661,0.24994068950016857,0.31561926405034524,0.81677717,1.1076237,0.9065529707677629,주거형,0
노원구,496552,3.4307524819202158,0.11788749952778513,0.2600506214347777,0.38318915039099394,0.8503474,1.0662262,1.012169231520566,주거형,0
은평구,465350,2.990469066023883,0.10155185991569,0.2982721082132765,0.3565293926900449,0.762114,1.1199685,0.9990194208660148,주거형,0
서대문구,318622,4.121469720387804,0.1702463138157334,0.2431858859626694,0.36024034773715163,1.1426861,0.8362321,1.0804987963794088,주거형,0
마포구,372745,4.901925820256776,0.3269407057111677,0.2619534376136777,0.14967624590760276,1.1717837,0.9857903,1.0823454204617098,혼합형,1
양천구,434351,3.4578389830508476,0.1147677838367747,0.2632038478034434,0.32544727651491945,0.8320626,1.0878689,0.8955994115358317,주거형,0
강서구,562194,5.156357756842818,0.23883954283081413,0.22278998630540234,0.17887128358056134,0.954136,0.98516124,0.9736050856110169,혼합형,1
구로구,411916,4.486301898441117,0.2774906035246459,0.2438095074268709,0.16759699656824378,0.96316594,0.9843239,0.947950097835481,혼합형,1
금천구,239070,5.360746458068945,0.3608537886872999,0.20053943921606676,0.08271660036868148,1.2045245,0.77490836,0.8590342917346384,상업형,3
영등포구,397173,5.9687930057475915,0.38314854372223917,0.1880107144068084,0.10210106352919902,1.355134,0.86449647,1.0474101493555705,상업형,3
동작구,387352,3.964659305535377,0.2108011543218359,0.2604553158352801,0.32771746598873164,0.8339567,1.0496625,1.025048115151077,주거형,0
관악구,495620,3.339272910747006,0.13940690433966615,0.28763310456710695,0.33499805164337915,0.7782729,1.0921955,1.008298444372705,주거형,0
서초구,413076,6.854345895543098,0.33580982187501895,0.21222764530475993,0.14622686389502387,1.5195577,0.7976378,1.1300241965158955,상업형,3
강남구,563215,7.4659054962435745,0.3850163720405534,0.26352695991134073,0.14278299532208497,1.6117548,0.7464799,1.1931619141890752,상업형,2
송파구,656310,5.510946983161525,0.26383974963867224,0.29147505345262126,0.14947861297913256,1.0099866,1.0194501,1.1103774321585835,유동집중형,1
강동구,481474,3.8668189605939465,0.13479647899805045,0.2687008920659302,0.2576475453417617,0.8505454,1.0405402,1.1205178005458238,혼합형,0
