"district","discharge","recycle_pct","incin_pct","landfill_pct","etc_pct"
"종로구",98887,0.593485493543135,0.363070980007483,0.0391254664414938,0.00431806000788779
"중구",133576,0.642083907288735,0.313312271665569,0.0347442654369048,0.00986704198358987
"용산구",103895,0.649838779537033,0.313951585735598,0.0337456085470908,0.00247365128254488
"성동구",159245,0.757103833715344,0.191177117020943,0.0387767276837577,0.012948601211969
"광진구",107234,0.662868120185762,0.260812801909842,0.0762444747001884,7.46032042076207e-05
"동대문구",112593,0.652438428676738,0.298526551384189,0.0411393248248115,0.0078956951142611
"중랑구",107223,0.623243147459034,0.348954981673708,0.0274381429357507,0.000363727931507233
"성북구",117738,0.740652975250132,0.238826886816491,0.0167490529820449,0.00377957838590769
"강북구",83607,0.684799119690935,0.288265336634492,0.0269355436745727,NA
"도봉구",88094,0.697311962222172,0.230503780053125,0.0236565486866302,0.0485390605489591
"노원구",150001,0.640595729361804,0.278164812234585,0.0123732508449944,0.0688595409363938
"은평구",127441,0.571456595601102,0.194623394355035,0.233920010043863,NA
"서대문구",99837,0.636046756212627,0.319991586285646,0.0429500085138776,0.0010116489878502
"마포구",142121,0.600614968934922,0.351074084758762,0.0394100801429768,0.00890790242117632
"양천구",121756,0.593293143664378,0.275510036466375,0.0529994415059627,0.0782055915108906
"강서구",590910,0.457240527322266,0.0852430996260006,0.0243438087018328,0.43317425665499
"구로구",122831,0.580822430819581,0.359046169126686,0.0570784248276087,0.0030529752261237
"금천구",96694,0.662212753635179,0.10925186671355,0.222640494756655,0.005894884894616
"영등포구",158377,0.675009628923392,0.268290218908048,0.0494326827759081,0.00726115534452604
"동작구",119527,0.674818241903503,0.227212261664728,0.0766856024161905,0.0212838940155781
"관악구",149864,0.74323386537127,0.164482464100785,0.0922836705279453,NA
"서초구",180257,0.628480447361268,0.26297453080879,0.0897662781473119,0.0187787436826309
"강남구",266815,0.634229709723966,0.319446058130165,0.0395255139328748,0.00679871821299402
"송파구",268890,0.603968165420804,0.181802967756332,0.0550001859496448,0.159224961880323
"강동구",129564,0.652480627334753,0.260936679941959,0.0821447315612361,0.00443024296872588
