"자치구별(1)","자치구별(2)",시점,발생량,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,재활용,소각,매립,기타
"합계","강남구",2022,148711,88288,2478,-,57945
"합계","강남구",2023,154303,62105,870,8,91320
"합계","강남구",2024,151389,78396,796,-,72197
"합계","송파구",2020,31090,19702,1672,37,9679
"합계","송파구",2021,37277,34863,1242,41,1132
"합계","송파구",2022,70684,65984,2612,-,2088
"합계","송파구",2023,83756,77380,4448,33,1896
"합계","송파구",2024,77516,70720,4020,-,2776
"합계","강동구",2020,114885,107411,6364,796,314
"합계","강동구",2021,104025,93768,9968,290,-
"합계","강동구",2022,105328,98728,6590,11,-
"합계","강동구",2023,95364,88299,6835,13,217
"합계","강동구",2024,92905,86982,5923,-,-
