"자치구별(1)","자치구별(2)",시점,행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년)
"자치구별(1)","자치구별(2)",시점,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"합계","노원구",2020,35.44,527032,35.44,527032,100.0,405633,405633,100.0,405633,32387,41344,330938,964
"합계","노원구",2021,35.44,514946,35.44,514946,100.0,398708,398708,100.0,398708,32148,39098,326801,661
"합계","노원구",2022,35.44,508014,35.44,508014,100.0,563441,563441,100.0,563441,29107,37403,496384,548
"합계","노원구",2023,35.44,502925,35.44,502925,100.0,488241,488241,100.0,488241,30564,35593,421584,499
"합계","노원구",2024,35.44,496552,35.44,496552,100.0,363003,363003,100.0,363003,27324,43501,281563,10616
"합계","은평구",2020,29.71,484043,29.71,484043,100.0,789221,789221,100.0,789221,42295,21066,725762,99
"합계","은평구",2021,29.71,477173,29.71,477173,100.0,477969,477969,100.0,477969,41301,16714,419258,696
"합계","은평구",2022,29.71,470602,29.71,470602,100.0,481162,481162,100.0,481162,39645,18692,422105,721
"합계","은평구",2023,29.71,470869,29.71,470869,100.0,395945,395945,100.0,395945,34071,18170,343488,216
"합계","은평구",2024,29.71,465350,29.71,465350,100.0,618816,618816,100.0,618816,31055,26930,560680,150
"합계","서대문구",2020,17.63,322952,17.63,322952,100.0,286509,286509,100.0,286509,13788,34088,235557,3076
"합계","서대문구",2021,17.63,315659,17.63,315659,100.0,364794,364794,100.0,364794,9116,36254,318891,533
"합계","서대문구",2022,17.63,319554,17.63,319554,100.0,269447,269447,100.0,269447,8513,34678,223141,3115
"합계","서대문구",2023,17.63,320629,17.63,320629,100.0,278431,278431,100.0,278431,5585,37180,231216,4450
"합계","서대문구",2024,17.63,318622,17.63,318622,100.0,196258,196258,100.0,196258,4601,36786,154096,776
"합계","마포구",2020,23.85,381858,23.85,381858,100.0,602333,602333,100.0,602333,21283,43428,537557,65
"합계","마포구",2021,23.85,378686,23.85,378686,100.0,516703,516703,100.0,516703,16665,42378,389226,68434
"합계","마포구",2022,23.85,375585,23.85,375585,100.0,641217,641217,100.0,641217,16907,43096,568963,12252
"합계","마포구",2023,23.85,375162,23.85,375162,100.0,534459,534459,100.0,534459,15913,44600,472953,993
"합계","마포구",2024,23.85,372745,23.85,372745,100.0,428716,428716,100.0,428716,14687,50783,361870,1376
"합계","양천구",2020,17.41,457781,17.41,457781,100.0,458040,458040,100.0,458040,28433,34766,394798,43
"합계","양천구",2021,17.41,450487,17.41,450487,100.0,400459,400459,100.0,400459,31715,32020,335110,1616
"합계","양천구",2022,17.41,444010,17.41,444010,100.0,306957,306957,100.0,306957,25392,35709,242863,2993
"합계","양천구",2023,17.41,439252,17.41,439252,100.0,247774,247774,100.0,247774,26215,31874,189182,503
"합계","양천구",2024,17.41,434351,17.41,434351,100.0,332820,332820,100.0,332820,26046,35318,261323,10133
"합계","강서구",2020,41.44,585901,41.44,585901,100.0,1803943,1803943,100.0,1803943,230910,89106,1331597,152330
