"자치구별(1)","시점",주민 1인당 생활폐기물(쓰레기) 배출량 (㎏/인 일),생활계폐기물 배출량 (톤/일),주민수 (명)
"도봉구","2012",1.10,400.4,364454
"도봉구","2013",1.07,386.2,360609
"도봉구","2014",0.98,348.1,355712
"도봉구","2015",0.89,314.7,353241
"도봉구","2016",0.90,315.1,350272
"도봉구","2017",0.70,243.6,346234
"도봉구","2018",0.75,255.7,341649
"도봉구","2019",1.03,345.1,335631
"도봉구","2020",0.92,300.9,327361
"도봉구","2021",0.79,251.9,319373
"도봉구","2022",0.82,258.3,313989
"도봉구","2023",0.91,280.6,309494
"도봉구","2024",0.79,240.7,306032
"노원구","2009",0.88,541.2,615161
"노원구","2010",0.74,452.9,615425
"노원구","2011",0.50,303.7,608062
"노원구","2012",0.51,307.9,600829
"노원구","2013",0.51,302.4,594027
"노원구","2014",0.61,356.4,586056
"노원구","2015",0.80,464.2,578221
"노원구","2016",0.80,455.1,571212
"노원구","2017",0.75,416.7,558075
"노원구","2018",0.85,467.2,548160
"노원구","2019",0.59,317.3,537303
"노원구","2020",0.75,394.8,527032
"노원구","2021",0.72,372.3,514946
"노원구","2022",0.79,399.4,508014
"노원구","2023",0.76,383.9,502925
"노원구","2024",0.83,409.8,496552
"은평구","2009",0.73,344.4,470782
"은평구","2010",0.54,264.6,492925
"은평구","2011",0.54,270.3,498350
"은평구","2012",0.52,261.1,505902
"은평구","2013",0.58,294.9,508111
"은평구","2014",0.60,300.3,503243
"은평구","2015",0.45,227.5,502578
"은평구","2016",0.57,283.4,495937
"은평구","2017",0.65,319.6,491202
"은평구","2018",0.68,333.3,487666
"은평구","2019",0.76,369.0,484546
"은평구","2020",0.79,380.4,484043
"은평구","2021",0.79,378.9,477173
"은평구","2022",0.75,352.8,470602
"은평구","2023",0.72,339.1,470869
"은평구","2024",0.75,348.2,465350
"서대문구","2009",0.97,327.1,336649
"서대문구","2010",0.92,308.3,333871
"서대문구","2011",0.90,291.4,324529
"서대문구","2012",0.81,263.6,324733
"서대문구","2013",0.81,262.4,324067
"서대문구","2014",0.97,311.7,320861
"서대문구","2015",0.93,301.5,323105
"서대문구","2016",0.92,298.4,325871
"서대문구","2017",0.92,298.3,325028
"서대문구","2018",0.88,285.3,323080
"서대문구","2019",0.74,240.1,323171
"서대문구","2020",0.88,285.3,322952
"서대문구","2021",0.84,265.1,315659
"서대문구","2022",0.92,294.9,319554
"서대문구","2023",0.83,267.4,320629
"서대문구","2024",0.86,272.8,318622
"마포구","2009",1.05,413.7,392313
"마포구","2010",0.76,303.1,400464
"마포구","2011",0.78,309.6,398627
"마포구","2012",0.71,279.6,393576
"마포구","2013",0.73,287.0,391098
"마포구","2014",1.16,458.1,395830
"마포구","2015",1.16,461.6,398351
"마포구","2016",1.17,456.6,390887
"마포구","2017",1.13,437.7,385783
"마포구","2018",1.14,439.5,386359
"마포구","2019",1.24,477.5,385925
"마포구","2020",0.96,366.4,381858
"마포구","2021",1.44,545.2,378686
"마포구","2022",1.11,417.5,375585
"마포구","2023",0.99,370.7,375162
"마포구","2024",1.04,388.3,372745
"양천구","2009",1.06,534.7,506684
"양천구","2010",0.55,277.4,505223
"양천구","2011",0.51,257.4,505605
"양천구","2012",0.55,274.5,500533
"양천구","2013",0.56,276.1,496934
"양천구","2014",0.71,347.9,490708
"양천구","2015",0.66,322.5,489010
"양천구","2016",0.60,287.9,481845
"양천구","2017",0.62,295.4,475018
"양천구","2018",0.64,297.7,468145
"양천구","2019",0.74,340.8,462285
"양천구","2020",0.86,394.4,457781
"양천구","2021",0.78,353.1,450487
"양천구","2022",0.76,338.9,444010
"양천구","2023",0.72,316.9,439252
"양천구","2024",0.77,332.7,434351
"강서구","2009",0.99,570.9,579196
"강서구","2010",1.16,671.4,580506
"강서구","2011",0.75,429.8,575846
"강서구","2012",0.70,399.1,573794
"강서구","2013",0.64,370.2,575236
"강서구","2014",0.74,436.8,591653
"강서구","2015",0.73,434.2,595691
"강서구","2016",0.71,425.3,602104
"강서구","2017",0.76,463.7,608255
"강서구","2018",0.80,480.0,603611
"강서구","2019",1.00,599.4,598273
"강서구","2020",0.90,526.8,585901
"강서구","2021",3.55,2059.7,579768
"강서구","2022",2.79,1604.8,574638
