"동별(1)","항목","시점",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"성북구","한국인","2020",437153,12220,16602,17340,19805,32361,34611,28291,31552,31950,37889,36742,32639,31538,23359,18564,15004,9746,4483,1658,415,384
"성북구","한국인","2021",430528,11266,16060,17256,18730,31505,34075,28652,29763,32080,35366,37852,31428,31950,24853,17794,14670,10338,4798,1676,351,65
"성북구","한국인","2022",430397,10629,15251,17040,19122,31609,33803,29319,28327,32347,33645,38817,31449,31746,25659,18286,14622,11438,5156,1710,371,51
"성북구","한국인","2023",425602,9796,14301,16497,18505,31557,33136,29275,26838,32296,31140,38592,32357,31080,26920,18518,15112,11803,5608,1773,439,59
"성북구","한국인","2024",421560,9246,13249,16128,17845,30939,32560,29408,26424,30677,30220,37584,33181,30746,27905,19120,15624,12010,6174,1974,481,65
"강북구","한국인","2020",308055,6615,9099,10048,11979,19671,23273,18553,20204,21169,25549,26491,26151,25940,19952,16545,13542,8102,3414,1173,336,249
"강북구","한국인","2021",299182,5696,8452,9722,11074,18441,22560,18649,18471,20592,23331,26958,24742,26276,20896,16210,13094,8712,3795,1187,279,45
"강북구","한국인","2022",293660,5071,7715,9337,10693,17730,22119,18991,16930,20318,21795,26601,24190,26000,21379,16301,13058,9805,4108,1208,269,42
"강북구","한국인","2023",288113,4546,7029,9012,10129,16825,21330,19048,15949,19890,20012,25817,24448,25605,22251,16211,13549,10260,4551,1309,295,47
"강북구","한국인","2024",283597,4189,6365,8573,9832,15996,20206,19307,15295,18679,19268,25109,24624,24927,23150,16766,13953,10529,5030,1405,350,44
"도봉구","한국인","2020",325257,7915,10860,11703,13924,20408,23004,19259,21734,21965,26570,28731,28289,28886,20854,15522,12184,7862,3741,1354,317,175
"도봉구","한국인","2021",317366,6885,10159,11444,12867,19192,22304,19320,19926,21787,24369,29016,26990,28993,22373,15428,12055,8475,4003,1388,303,89
"도봉구","한국인","2022",311694,6202,9387,11027,12481,17670,21719,19763,18539,21591,22836,28469,26281,28787,23328,15917,12149,9493,4246,1445,322,42
"도봉구","한국인","2023",306948,5568,8674,10569,11803,16584,20855,20022,17585,21487,21027,27537,26726,28137,24841,16221,12743,9926,4651,1571,363,58
"도봉구","한국인","2024",303228,5191,7776,10248,11349,15635,20017,20270,17135,20367,20376,26503,26789,27423,26051,17381,13303,10013,5265,1676,399,61
"노원구","한국인","2020",523037,13503,19679,24274,28961,37606,35576,30226,34514,38408,47832,46711,41117,39210,28594,21234,16302,10937,5557,2012,496,288
"노원구","한국인","2021",510956,12124,18534,23464,26848,35634,34322,30741,32397,37593,44177,47671,39358,39822,30925,21066,16230,11545,5848,2117,454,86
"노원구","한국인","2022",503734,11250,17057,22463,26647,34461,33406,31658,30220,36953,41583,47683,38664,39743,32025,21950,16407,12629,6169,2207,480,79
"노원구","한국인","2023",498213,10622,15803,21427,25745,33328,32973,31961,29061,36722,38679,46871,39570,39142,33975,22567,17146,12976,6677,2351,532,85
"노원구","한국인","2024",491247,10042,14450,20858,24558,32128,32019,32074,28724,34670,37231,45518,40312,38196,35126,23896,17946,13125,7157,2542,579,96
"은평구","한국인","2020",479835,12839,16865,18077,20599,29682,37376,32478,36024,35746,40882,39783,37491,36983,27455,22013,17108,11055,4842,1658,454,425
"은평구","한국인","2021",473307,11533,16122,17625,19583,28231,37051,33437,33590,35916,38187,41176,36068,37750,29265,21494,17027,11731,5358,1708,383,72
"은평구","한국인","2022",466746,10822,14951,17208,19263,26614,36413,34559,31384,35613,36324,41253,35415,37505,29995,21675,16994,12789,5856,1695,371,47
"은평구","한국인","2023",466770,10135,14139,16807,18732,25747,36048,36022,30331,36047,34194,41421,36416,37166,31678,22049,17786,13352,6393,1851,399,57
"은평구","한국인","2024",460919,9289,12767,16268,18031,24243,35043,36889,29432,33951,33276,40570,37028,36344,33113,22963,18502,13534,7049,2095,463,69
"서대문구","한국인","2020",312173,9060,11115,10915,12707,22638,27718,21991,23118,22264,25223,25575,23792,22301,16257,13272,11032,7692,3554,1283,368,298
"서대문구","한국인","2021",304819,8062,10819,10579,11914,21754,27142,22483,21752,22134,23116,25994,22646,22602,17098,12582,10706,7918,3884,1275,286,73
"서대문구","한국인","2022",306337,7815,10580,10747,11869,21706,27130,23207,21231,22713,22325,26274,22502,22736,17839,12642,10626,8641,4117,1306,279,52
"서대문구","한국인","2023",306231,7339,10184,10689,11434,21425,27007,24012,20895,23039,21214,25955,22938,22512,18849,12887,10789,8817,4474,1416,294,62
"서대문구","한국인","2024",302853,7070,9337,10614,11097,20647,26175,24263,20558,22252,20559,25118,23404,22074,19677,13340,11075,8764,4913,1495,352,69
"마포구","한국인","2020",371890,11503,13396,13770,14602,25662,36242,32085,32401,29269,31726,28739,25516,22977,16582,13271,11038,7419,3677,1313,356,346
"마포구","한국인","2021",368905,10313,13348,13622,14083,25024,36329,32583,31014,29601,30218,30318,24644,23577,17628,12667,10711,7731,3790,1348,284,72
"마포구","한국인","2022",364638,9336,12395,13273,14136,24060,36061,33546,29438,29509,28762,30642,24432,23515,18048,12860,10509,8334,4061,1396,270,55
"마포구","한국인","2023",363697,8692,11936,12677,13798,23274,35626,34825,28982,29868,27066,30967,25067,23415,18942,12955,10772,8625,4366,1479,315,50
"마포구","한국인","2024",361417,8255,11144,12520,13425,22478,34733,35765,28702,29048,26509,30393,25811,23022,19884,13279,11004,8716,4692,1631,359,47
"양천구","한국인","2020",454251,11923,19629,24815,26057,28947,30827,26399,31421,36236,42757,40430,36065,33204,24347,17183,11410,7127,3594,1341,352,187
"양천구","한국인","2021",447302,10678,18856,24587,24885,27320,30068,26581,29076,36132,40376,41318,34852,34090,26190,17463,11752,7557,3743,1398,323,57
"양천구","한국인","2022",440881,9728,17327,24023,24718,25505,29319,27232,26936,35504,38644,41234,34064,34412,27317,18532,12273,8294,3960,1477,331,51
"양천구","한국인","2023",436028,8991,16388,23414,24320,24108,28416,27490,25582,35658,36875,40464,34359,33837,28804,19142,13269,8673,4212,1611,350,65
"양천구","한국인","2024",430976,8463,15440,23303,23529,22502,27286,27680,24899,34310,36336,39371,34485,33198,29935,20375,14252,8905,4570,1690,382,65
"강서구","한국인","2020",580185,17481,22079,21202,23492,34061,52930,49668,49394,45143,45745,43004,43192,44061,32279,23418,15497,9788,4990,2029,493,239
"강서구","한국인","2021",574315,15619,21027,21245,22272,32819,52833,51062,46769,45631,43635,43859,40549,44659,34723,23443,15962,10338,5265,2039,484,82
"강서구","한국인","2022",569166,14350,19273,21121,21922,30812,51892,53354,44263,45899,42230,44128,39004,44038,35863,24532,16856,11446,5537,2068,501,77
"강서구","한국인","2023",563058,13345,17844,20484,21333,29402,49776,53819,42835,46070,40350,43918,39261,42813,37545,25456,18150,11944,5909,2179,543,82
