"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20253","11260","중랑구","","06","69569679000","20729970000","1104139000","1146432000","12031127000","5187752000","2715311000","2419251000","3695932000","2720857000","17818908000"
"20253","11230","동대문구","","07","93408471000","26935304000","1990975000","1552160000","24025962000","5070035000","3576863000","1839427000","4665772000","2453630000","21298343000"
"20253","11215","광진구","","07","97987244000","22171142000","2337920000","2109093000","16581942000","6453437000","3812266000","3379877000","6419854000","4764562000","29957151000"
"20253","11200","성동구","","07","113300732000","20595204000","5137396000","1029828000","14790708000","7097360000","3402715000","2028915000","18790659000","14547524000","25880423000"
"20253","11170","용산구","","08","298204792000","173635240000","2797655000","7093449000","6138566000","2960204000","1469077000","3364485000","35545404000","27699602000","37501110000"
"20253","11140","중구","","07","3385444980000","22908299000","8619525000","6140329000","15024146000","468079976000","21002683000","2587990000","2737349538000","66188462000","37544032000"
"20253","11110","종로구","","07","226556563000","16433808000","5039672000","1099799000","25378559000","5635437000","6882535000","3972673000","17029550000","99807447000","45277083000"
"20252","11740","강동구","","07","153036058000","22218893000","2286072000","1377611000","21832984000","3318637000","6671614000","2409501000","64069792000","3867347000","24983607000"
"20252","11710","송파구","","08","336242667000","38101391000","7068633000","3736489000","39305378000","8222080000","10717559000","4335780000","166891496000","7998696000","49865165000"
"20252","11680","강남구","","09","2690262619000","39502574000","28897502000","5050403000","132189747000","25643143000","35983932000","8696543000","1458539022000","877503342000","78256411000"
"20252","11650","서초구","","09","637351297000","22390349000","5221820000","12386039000","66190257000","6119069000","12373261000","4033343000","279483456000","182090087000","47063616000"
"20252","11620","관악구","","06","115714013000","29439311000","2777161000","1321251000","18680473000","3206735000","14074989000","4396195000","7106130000","4482323000","30229445000"
"20252","11590","동작구","","07","167931470000","25720230000","1301385000","1787490000","18593280000","80591960000","4510639000","2088339000","4488214000","3800602000","25049331000"
"20252","11560","영등포구","","07","1788658421000","26183098000","4327438000","2937386000","27285191000","111214880000","3834943000","3791691000","1537824487000","24713865000","46545442000"
"20252","11545","금천구","","06","71606330000","15253495000","11976760000","1037049000","9724618000","3942969000","1429439000","1654252000","11043547000","1884537000","13659664000"
"20252","11530","구로구","","07","1984837896000","25364646000","1541908000","1804137000","24847429000","3897043000","3792648000","2391601000","1894096337000","4432131000","22670016000"
"20252","11500","강서구","","07","223597629000","31880624000","5995072000","2025220000","33727145000","29681657000","7159353000","4083666000","56849622000","16654924000","35540346000"
"20252","11470","양천구","","08","107661539000","25034664000","1396680000","1062723000","22842394000","5867181000","13754579000","1829638000","11490628000","3639494000","20743558000"
"20252","11440","마포구","","08","227849217000","30401267000","7126065000","2044783000","20513781000","3186746000","9153145000","6910530000","86807541000","8419244000","53286115000"
"20252","11410","서대문구","","07","132769976000","16949277000","1312871000","812758000","77783617000","2881289000","4130988000","1621934000","4181711000","2985092000","20110439000"
"20252","11380","은평구","","06","90599856000","22478922000","4046486000","1682280000","20649443000","4376087000","5093746000","2753941000","4235843000","3591563000","21691545000"
"20252","11350","노원구","","07","123836297000","38024287000","1698904000","1448002000","21937079000","4353636000","8730586000","2841610000","11792467000","4911938000","28097788000"
"20252","11320","도봉구","","06","51379751000","15119053000","1010630000","915001000","7539250000","4907546000","2575505000","1383112000","2892020000","1919147000","13118487000"
"20252","11305","강북구","","06","60103519000","14867555000","1585405000","1179059000","11776861000","3268785000","1506630000","2382862000","3582876000","3125060000","16828426000"
"20252","11290","성북구","","07","84383556000","23020391000","1747674000","1076090000","11937876000","5538977000","4214742000","2374220000","7328182000","3258845000","23886559000"
"20252","11260","중랑구","","06","68222026000","20024256000","1487558000","1105303000","11476168000","4825599000","2555512000","2610533000","3638992000","2467220000","18030885000"
"20252","11230","동대문구","","07","91374946000","26067507000","2588459000","1445948000","22012651000","4837254000","3277873000","1925259000","4721227000","2316042000","22182726000"
"20252","11215","광진구","","07","98628825000","22265911000","2775448000","2043520000","16114368000","5834775000","3575893000","3566639000","6406038000","4627904000","31418329000"
"20252","11200","성동구","","07","111614407000","20306270000","5698878000","1095140000","14721984000","6668162000","3156275000","2134272000","17072161000","13962422000","26798843000"
"20252","11170","용산구","","08","262759531000","156257900000","3227641000","6563356000","6075146000","3038465000","1386855000","2997422000","21311165000","27341447000","34560134000"
"20252","11140","중구","","07","3099455869000","36418514000","8980240000","5860635000","14510632000","469305291000","21744992000","2764790000","2427277258000","75012370000","37581147000"
"20252","11110","종로구","","07","220175332000","16795135000","5436063000","1085373000","24765031000","5666870000","2949820000","4434113000","15186633000","95205804000","48650490000"
"20251","11740","강동구","","07","158331461000","22302827000","1857054000","1535460000","22656800000","3169605000","6879294000","2340714000","69692632000","3874528000","24022547000"
"20251","11710","송파구","","08","342571076000","37692661000","6009013000","3612729000","39878544000","8217993000","10747191000","4127332000","177986970000","7899396000","46399247000"
"20251","11680","강남구","","09","2658787016000","38863476000","25775556000","5032985000","147272178000","25461468000","36880228000","8563452000","1404732048000","888140134000","78065491000"
"20251","11650","서초구","","09","656368012000","21231042000","4386260000","12857816000","71861896000","6082918000","12989806000","4096352000","291547870000","184733210000","46580842000"
"20251","11620","관악구","","06","114712610000","29510117000","2171097000","1549620000","18671642000","3119379000","14432256000","4455874000","7015469000","4435567000","29351589000"
"20251","11590","동작구","","07","159525089000","26274814000","943689000","1486361000","17702284000","75574321000","4223553000","2046261000","4332049000","3700100000","23241657000"
"20251","11560","영등포구","","07","1604654736000","27506713000","3516374000","2706926000","26481589000","59681880000","3846438000","3754106000","1406706133000","24855792000","45598785000"
"20251","11545","금천구","","06","69743738000","15136358000","11049978000","978683000","9204078000","3577706000","1491776000","1524004000","11725494000","1994510000","13061151000"
"20251","11530","구로구","","07","1870088841000","24709136000","1301665000","1867278000","23715056000","4245494000","3815423000","2334385000","1782704856000","4047639000","21347909000"
"20251","11500","강서구","","07","228058155000","32194258000","5307409000","2064368000","33825707000","33112165000","7186712000","4042651000","60112334000","15517746000","34694805000"
"20251","11470","양천구","","08","106336088000","24955396000","1288145000","1121515000","22704743000","5493879000","14192619000","1738828000","11120101000","3755681000","19965181000"
"20251","11440","마포구","","08","219954123000","29841824000","6090441000","2022476000","20292821000","3361384000","8813817000","7274871000","79652673000","8253259000","54350557000"
"20251","11410","서대문구","","07","131597113000","16061235000","1069798000","800312000","79287533000","3064806000","3903337000","1615061000","4220989000","3034801000","18539241000"
"20251","11380","은평구","","06","88506090000","22177558000","3751021000","1409422000","20394418000","4429864000","5126992000","2627790000","4301930000","3612368000","20674727000"
"20251","11350","노원구","","07","120926699000","36788860000","1355587000","1177666000","21626280000","4345566000","9278977000","2797817000","11594245000","5015117000","26946584000"
"20251","11320","도봉구","","06","49269298000","15056313000","852648000","939562000","7180051000","4628558000","2576096000","1283390000","2866245000","1906598000","11979837000"
"20251","11305","강북구","","06","58451058000","14403164000","1226405000","1016471000","11736099000","3263638000","1589013000","2516255000","3546245000","3098965000","16054803000"
"20251","11290","성북구","","07","80751856000","21619732000","1426192000","1020249000","12172922000","5572193000","4976910000","2136343000","7184200000","3246750000","21396365000"
"20251","11260","중랑구","","06","66530182000","20194598000","1395684000","1017951000","11444607000","4845399000","2454787000","2486736000","3501045000","2624923000","16564452000"
"20251","11230","동대문구","","07","88210647000","25857051000","2069948000","1270117000","21897164000","4696593000","3311849000","1818845000","4552707000","2348922000","20387451000"
"20251","11215","광진구","","07","94422862000","21348233000","2326335000","1719396000","15426702000","5986305000","3596103000","3687377000","5945437000","4704749000","29682225000"
"20251","11200","성동구","","07","101504181000","19829699000","4972817000","946039000","13940998000","5945612000","3262019000","2099480000","12593810000","12622348000","25291359000"
"20251","11170","용산구","","08","251493608000","147937217000","2929503000","5855924000","5799829000","2791687000","1539579000","2900941000","22023122000","26129911000","33585895000"
"20251","11140","중구","","07","3003447244000","35376829000","7473108000","5632037000","14115663000","441556607000","23452174000","2442641000","2363040711000","74139896000","36217578000"
"20251","11110","종로구","","07","215509104000","15003580000","4487446000","1104919000","22974686000","5835583000","6691704000","3908868000","16786250000","94487297000","44228771000"
"20244","11740","강동구","","07","153984559000","22815464000","2433371000","1788349000","23058926000","3331692000","6596329000","2604418000","61812280000","4130246000","25413484000"
"20244","11710","송파구","","08","370776391000","38914502000","7780536000","4255751000","41404218000","8628413000","10524454000","4758652000","196223429000","8049725000","50236711000"
"20244","11680","강남구","","09","2786953199000","41221267000","31826928000","4883340000","135860142000","27645005000","36996520000","9759218000","1486540549000","926111068000","86109162000"
"20244","11650","서초구","","09","636011154000","22545018000","5146525000","13244810000","68277438000","6120497000","12334867000","4711749000","261611792000","190361817000","51656641000"
"20244","11620","관악구","","06","118781585000","30139995000","2838874000","1622939000","19317938000","2800073000","14573448000","4744650000","6724224000","4724373000","31295071000"
"20244","11590","동작구","","07","179893414000","27349779000","1229931000","1544737000","17671773000","91827354000","4041366000","2422232000","4206227000","3815340000","25784675000"
"20244","11560","영등포구","","07","1156414569000","27394748000","4446286000","2880163000","26604056000","78841223000","3772355000","4289171000","933966237000","25409876000","48810454000"
"20244","11545","금천구","","06","76883732000","15670173000","14905653000","1316137000","9974690000","3665345000","1423046000","1704617000","12547812000","2047780000","13628479000"
"20244","11530","구로구","","07","1851637044000","25611104000","1604098000","2146198000","25131690000","5141076000","3672437000","2663413000","1758288428000","4267401000","23111199000"
"20244","11500","강서구","","07","230072690000","33296542000","6290626000","2467487000","33639290000","39448863000","6895292000","4542095000","48889718000","17191267000","37411510000"
"20244","11470","양천구","","08","108068231000","25248127000","1379754000","1130481000","22583514000","5887432000","13478868000","1884217000","11455856000","3847908000","21172074000"
"20244","11440","마포구","","08","636314248000","31864794000","6921294000","2354849000","20544480000","3508850000","9313804000","7868690000","486852059000","8733717000","58351711000"
"20244","11410","서대문구","","07","135847173000","17243792000","1331737000","924483000","79893815000","3131996000","3770634000","1748751000","4218717000","3159665000","20423583000"
"20244","11380","은평구","","06","91375321000","22331681000","4413002000","1421814000","20606892000","4593881000","4986233000","2846705000","4425420000","3703676000","22046017000"
"20244","11350","노원구","","07","126976646000","39167538000","1590706000","1474032000","21614585000","4508550000","8739345000","2860650000","12881242000","5151609000","28988389000"
"20244","11320","도봉구","","06","51850173000","15788332000","1146636000","1009616000","7400239000","4806665000","2368377000","1351829000","2963173000","1918069000","13097237000"
"20244","11305","강북구","","06","61335248000","14753913000","1647397000","1048258000","12160039000","3427434000","1557569000","2687130000","3804468000","3017356000","17231684000"
"20244","11290","성북구","","07","84947365000","22744281000","1692833000","1186218000","12209575000","5831985000","4338977000","2271658000","7528447000","3281781000","23861610000"
"20244","11260","중랑구","","06","69209559000","20884170000","1455174000","1318736000","11615589000","5085308000","2339609000","2635289000","3647713000","2580874000","17647097000"
"20244","11230","동대문구","","07","93038276000","26431705000","2680681000","1488326000","22580123000","5148428000","3195605000","2062309000","4434866000","2426380000","22589853000"
"20244","11215","광진구","","07","99285146000","21908350000","3091772000","1880777000","15529287000","6136071000","3234983000","3903979000","6128764000","5132880000","32338283000"
"20244","11200","성동구","","07","102453510000","20750001000","4917669000","1031493000","13998731000","6069685000","3020242000","2404369000","8765454000","13824036000","27671830000"
"20244","11170","용산구","","08","257459474000","144010110000","3454653000","6013933000","5962859000","2908816000","1433983000","3313653000","25525078000","28288678000","36547711000"
"20244","11140","중구","","07","2855207987000","40031625000","9623266000","6146940000","14501677000","456712804000","24924512000","2856245000","2183745140000","75798806000","40866972000"
"20244","11110","종로구","","07","223563557000","16470081000","5080642000","1235927000","23699442000","6753219000","2955300000","4627259000","17010336000","95450068000","50281283000"
"20243","11740","강동구","","07","58031357000","8264140000","708550000","581493000","8048292000","1380145000","2646729000","945094000","25086912000","1375607000","8994395000"
"20243","11710","송파구","","08","135699676000","14194819000","2387114000","1399950000","14988370000","3476220000","4066943000","1839705000","73479450000","2697307000","17169798000"
