"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A),배출량(C),처리량(D),수거율(D/C),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년),처리방법 (톤/년)
"자치구별(1)",자치구별(2),면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타,면적 (km²),인구 (명),면적 (km²),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"합계",은평구,29.71,477173,29.71,477173,100.0,477969,477969,100.0,477969,41301,16714,419258,696,29.71,470602,29.71,470602,100.0,481162,481162,100.0,481162,39645,18692,422105,721,29.71,470869,29.71,470869,100.0,395945,395945,100.0,395945,34071,18170,343488,216,29.71,465350,29.71,465350,100.0,618816,618816,100.0,618816,31055,26930,560680,150
"합계",서대문구,17.63,315659,17.63,315659,100.0,364794,364794,100.0,364794,9116,36254,318891,533,17.63,319554,17.63,319554,100.0,269447,269447,100.0,269447,8513,34678,223141,3115,17.63,320629,17.63,320629,100.0,278431,278431,100.0,278431,5585,37180,231216,4450,17.63,318622,17.63,318622,100.0,196258,196258,100.0,196258,4601,36786,154096,776
"합계",마포구,23.85,378686,23.85,378686,100.0,516703,516703,100.0,516703,16665,42378,389226,68434,23.85,375585,23.85,375585,100.0,641217,641217,100.0,641217,16907,43096,568963,12252,23.85,375162,23.85,375162,100.0,534459,534459,100.0,534459,15913,44600,472953,993,23.85,372745,23.85,372745,100.0,428716,428716,100.0,428716,14687,50783,361870,1376
"합계",양천구,17.41,450487,17.41,450487,100.0,400459,400459,100.0,400459,31715,32020,335110,1616,17.41,444010,17.41,444010,100.0,306957,306957,100.0,306957,25392,35709,242863,2993,17.41,439252,17.41,439252,100.0,247774,247774,100.0,247774,26215,31874,189182,503,17.41,434351,17.41,434351,100.0,332820,332820,100.0,332820,26046,35318,261323,10133
"합계",강서구,41.45,579768,41.45,579768,100.0,1811014,1811014,100.0,1811014,307798,83483,1030882,388852,41.45,574638,41.45,574638,100.0,1712728,1712728,100.0,1712728,32602,97085,1226981,356060,41.45,568826,41.45,568826,100.0,1742325,1742325,100.0,1742325,17315,103308,1230702,391000,41.45,562194,41.45,562194,100.0,1858065,1858065,100.0,1858065,14562,112700,1256963,473840
"합계",구로구,20.12,421163,20.12,421163,100.0,447475,447475,100.0,447475,39380,43080,364499,517,20.12,418418,20.12,418418,100.0,512912,512912,100.0,512912,16083,40343,456143,344,20.12,415651,20.12,415651,100.0,445650,445650,100.0,445650,12961,41614,390895,181,20.12,411916,20.12,411916,100.0,302409,302409,100.0,302409,10004,46985,244974,446
"합계",금천구,13.02,244891,13.02,244891,100.0,494331,494331,100.0,494331,40068,12965,440293,1005,13.02,242818,13.02,242818,100.0,419382,419382,100.0,419382,23365,12466,382537,1015,13.02,241105,13.02,241105,100.0,366852,366852,100.0,366852,21798,12053,328279,4722,13.02,239070,13.02,239070,100.0,225590,225590,100.0,225590,21685,11544,190625,1736
"합계",영등포구,24.55,400908,24.55,400908,100.0,703046,703046,100.0,703046,21485,35268,643041,3252,24.55,398085,24.55,398085,100.0,825651,825651,100.0,825651,13450,42534,762953,6715,24.55,397800,24.55,397800,100.0,567119,567119,100.0,567119,11152,43506,510750,1710,24.55,397173,24.55,397173,100.0,593281,593281,100.0,593281,8177,44896,538286,1923
"합계",동작구,16.36,394364,16.36,394364,100.0,373833,373833,100.0,373833,11705,27629,333856,642,16.36,390432,16.36,390432,100.0,391694,391694,100.0,391694,13848,28958,347999,889,16.36,389714,16.36,389714,100.0,412026,412026,100.0,412026,10416,29037,372016,557,16.35,387352,16.35,387352,100.0,987083,987083,100.0,987083,9484,29140,945710,2749
"합계",관악구,29.57,499449,29.57,499449,100.0,634248,634248,100.0,634248,18944,42025,573271,9,29.57,501226,29.57,501226,100.0,492993,492993,100.0,492993,20503,33468,438911,111,29.57,497883,29.57,497883,100.0,401288,401288,100.0,401288,18434,32879,349773,202,29.57,495620,29.57,495620,100.0,348087,348087,100.0,348087,14072,26223,307579,213
"합계",서초구,46.98,416167,46.98,416167,100.0,1612209,1612209,100.0,1612209,27389,56482,1526715,1623,46.97,408451,46.97,408451,100.0,1041663,1041663,100.0,1041663,23526,55398,960238,2501,46.97,412078,46.97,412078,100.0,1347744,1347744,100.0,1347744,17252,56120,1272396,1976,46.97,413076,46.97,413076,100.0,1224794,1224794,100.0,1224794,17004,54059,1149436,4295
"합계",강남구,39.50,537800,39.50,537800,100.0,1551024,1551024,100.0,1551024,25085,85943,1364019,75977,39.50,534103,39.50,534103,100.0,1364964,1364964,100.0,1364964,26400,92695,1184575,61293,39.50,550282,39.50,550282,100.0,1260886,1260886,100.0,1260886,23987,95511,1049544,91844,39.51,563215,39.51,563215,100.0,1068334,1068334,100.0,1068334,21239,92563,880134,74398
"합계",송파구,33.88,663965,33.88,663965,100.0,1109491,1109491,100.0,1109491,57750,51880,991123,8738,33.88,664514,33.88,664514,100.0,909951,909951,100.0,909951,34028,51323,770847,53752,33.88,660025,33.88,660025,100.0,686606,686606,100.0,686606,25205,52582,565064,43755,33.88,656310,33.88,656310,100.0,732026,732026,100.0,732026,14974,59733,611677,45641
"합계",강동구,24.59,466472,24.59,466472,100.0,1093460,1093460,100.0,1093460,16939,35152,1028941,12429,24.59,464037,24.59,464037,100.0,758299,758299,100.0,758299,16587,29479,712089,144,24.59,463318,24.59,463318,100.0,594209,594209,100.0,594209,14845,30689,548306,369,24.59,481474,24.59,481474,100.0,527475,527475,100.0,527475,10795,42576,473385,719
