자치구별(1),자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
자치구별(1),자치구별(2),재활용률 (%),합계,합계,생활계 폐기물,생활계 폐기물,사업장배출시설계 폐기물,사업장배출시설계 폐기물,건설 폐기물,건설 폐기물,지정 폐기물,지정 폐기물,재활용률 (%),합계,합계,생활계 폐기물,생활계 폐기물,사업장배출시설계 폐기물,사업장배출시설계 폐기물,건설 폐기물,건설 폐기물,지정 폐기물,지정 폐기물,재활용률 (%),합계,합계,생활계 폐기물,생활계 폐기물,사업장배출시설계 폐기물,사업장배출시설계 폐기물,건설 폐기물,건설 폐기물,지정 폐기물,지정 폐기물,재활용률 (%),합계,합계,생활계 폐기물,생활계 폐기물,사업장배출시설계 폐기물,사업장배출시설계 폐기물,건설 폐기물,건설 폐기물,지정 폐기물,지정 폐기물
자치구별(1),자치구별(2),소계,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,소계,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,소계,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,소계,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용,발생량,재활용
서울시,마포구,76.2,508893,387989,199008,79714,25993,24879,283893,283396,7809,1237,89.5,633982,567724,152394,88134,25892,23973,455696,455618,7235,1239,88.7,531689,471676,135308,83318,34226,26254,362155,362105,2771,1277,84.6,425899,360360,142121,85360,35718,26941,248059,248059,2817,1511
서울시,양천구,84.3,396564,334463,128894,86602,18134,730,249536,247131,3896,647,79.6,304154,242188,123688,80582,26016,7159,154450,154447,2803,675,77,244751,188397,115678,78725,21244,1842,107829,107829,3023,786,79.1,329437,260506,121756,72237,19846,438,187835,187832,3383,817
서울시,강서구,57,1805962,1029615,751795,212856,283001,49136,771167,767623,5052,1267,71.8,1707507,1225583,585756,274273,245427,75159,876324,876151,5221,1398,70.8,1737168,1229541,490315,221810,355548,117035,891305,890697,5157,1161,67.8,1851172,1254984,590910,270188,394974,120157,865288,864639,6893,1979
서울시,구로구,81.9,443574,363386,136224,76846,980,867,306369,285674,3901,1112,89.4,509276,455054,134033,80101,1581,1493,373662,373460,3636,1089,88.2,442207,389916,171610,119509,1504,1371,269093,269036,3443,979,81.6,298919,243815,122831,71343,4102,734,171986,171739,3490,1159
서울시,금천구,89.3,491736,439256,98645,62226,447,142,392645,376888,2595,1037,91.6,416510,381317,99931,65228,1291,897,315288,315193,2873,1220,89.9,364034,327268,101244,64988,858,361,261932,261919,2818,1011,85.1,222620,189467,96694,64032,3077,2620,122849,122816,2969,1157
서울시,영등포구,92,697666,641902,161206,112103,16433,15922,520027,513877,5380,1139,92.8,820843,761703,167303,113275,31221,26187,622319,622241,4808,1250,90.6,562288,509396,166688,114964,16535,16149,379065,378282,4831,1354,91.2,588576,536932,158377,106906,16008,15870,414191,414156,4706,1354
서울시,동작구,90,370047,332920,108554,71943,1524,1477,259969,259500,3786,936,89.4,388357,347338,118013,77044,2165,2141,268178,268154,3337,661,90.9,408834,371481,116719,79700,572,559,291544,291222,3192,535,96,984321,945197,119527,80659,2403,2387,862392,862151,2762,513
서울시,관악구,90.6,631167,572074,146143,87868,12576,12565,472448,471641,3081,1197,89.4,489967,437884,161574,109513,230,230,328164,328142,3025,1027,87.6,398470,348919,146875,97385,857,846,250737,250688,2818,855,88.8,345294,306716,149864,111384,749,708,194682,194624,2793,864
서울시,서초구,95.2,1599770,1522493,177110,108844,9292,1033,1413368,1412617,12439,4222,93.1,1026077,955686,180281,112992,6002,3017,839794,839678,15586,4552,94.9,1335933,1268460,178090,111677,14327,13271,1143517,1143512,11810,3936,94.4,1213113,1145043,180257,113288,4951,4003,1027905,1027753,11681,4393
서울시,강남구,89,1530852,1361803,248001,161619,150248,71937,1132603,1128246,20172,2217,88,1345308,1183372,263297,163224,148711,88288,933301,931860,19656,1204,84.4,1242720,1048413,261425,161437,154303,62105,826993,824871,18166,1131,83.7,1049720,878728,266815,169222,151389,78396,631516,631110,18614,1406
서울시,송파구,90.1,1097905,988953,253209,173237,37277,34863,807419,780853,11586,2170,85.6,898991,769201,301830,177052,70684,65984,526477,526166,10960,1646,83.3,675848,563083,262182,156087,83756,77380,329910,329617,10758,1982,84.3,722918,609502,268890,162401,77516,70720,376512,376381,9108,2176
서울시,강동구,94.4,1087820,1027200,146616,97802,104025,93768,837179,835630,5639,1740,94.3,753567,710501,126256,90128,105328,98728,521982,521646,4733,1588,92.8,589260,546547,122793,87690,95364,88299,371103,370558,4949,1759,90.2,523007,471647,129564,84538,92905,86982,300538,300127,4468,1738
