"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)",자치구별(2),소계,가정,가정,가정,가정,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,소계,가정,가정,가정,가정,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,소계,가정,가정,가정,가정,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,다량배출사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장,사업장폐기물 배출자 사업장
"자치구별(1)",자치구별(2),소계,소계,단독주택,공동주택,소형음식점,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설,소계,소계,단독주택,공동주택,소형음식점,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설,소계,소계,단독주택,공동주택,소형음식점,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설,소계,집단급식소,음식점(200㎡ 이상),대규모점포,농수산시장,관광숙박시설
"서울시",성북구,86.7,75.0,28.0,38.1,8.9,8.9,6.6,2.1,0.1,-,0.1,2.8,-,-,2.8,-,-,91.9,80.3,56.6,22.0,1.8,10.2,7.6,2.4,0.2,-,0.0,1.3,-,-,1.3,-,-,92.4,79.2,37.8,29.7,11.7,12.2,8.8,3.2,0.1,-,0.1,1.0,-,-,1.0,-,-
"서울시",강북구,64.3,58.6,32.1,19.1,7.4,5.2,3.3,1.8,-,-,0.1,0.5,-,-,0.5,-,-,63.2,56.6,32.9,17.0,6.7,6.1,3.7,2.3,-,-,0.1,0.5,-,-,0.5,-,-,60.6,53.3,27.3,16.9,9.1,6.7,3.8,2.9,-,-,0.0,0.5,-,-,0.5,-,-
"서울시",도봉구,72.0,64.8,16.7,27.4,20.7,5.7,3.8,2.0,-,-,0.0,1.5,-,-,0.6,0.9,-,71.8,63.0,15.1,25.0,22.9,6.9,4.6,2.2,-,-,0.1,1.9,0.3,-,0.7,0.9,-,74.0,60.1,16.4,24.5,19.2,7.0,4.6,2.4,-,-,0.1,6.9,-,-,4.0,2.9,-
"서울시",노원구,115.9,102.0,21.0,63.6,17.4,9.4,6.5,2.8,0.0,-,0.0,4.5,1.0,-,3.5,-,-,116.2,100.5,20.4,60.6,19.5,11.1,7.9,3.1,0.0,-,0.0,4.6,1.1,-,3.4,-,-,111.2,95.0,13.3,57.6,24.2,11.6,8.2,3.4,0.0,-,0.0,4.6,1.0,-,3.6,-,-
"서울시",은평구,77.9,66.1,43.4,13.4,9.3,8.2,5.1,3.1,-,-,0.0,3.6,1.0,-,2.6,-,-,75.7,63.1,42.5,10.1,10.5,8.9,5.7,3.2,-,-,0.0,3.7,1.0,-,2.7,-,-,72.6,60.0,43.6,8.0,8.5,9.0,5.9,3.0,-,-,0.0,3.6,1.0,-,2.7,-,-
"서울시",서대문구,61.1,50.9,22.4,20.3,8.2,8.9,4.8,3.8,0.3,-,0.1,1.3,0.9,0.3,-,-,0.1,63.1,50.6,22.3,19.3,9.0,9.8,5.3,4.1,0.4,-,0.1,2.7,1.9,0.6,-,-,0.2,61.0,50.5,23.6,18.8,8.1,9.5,5.2,4.0,0.2,-,0.1,1.0,0.6,0.3,-,-,0.1
"서울시",마포구,77.9,61.4,28.1,26.3,7.0,15.2,5.0,9.9,-,-,0.4,1.3,0.0,-,0.9,-,0.3,81.0,61.3,28.1,24.5,8.8,18.1,5.9,11.1,0.4,0.0,0.5,1.6,-,-,1.2,-,0.4,78.8,58.9,28.4,23.3,7.1,18.5,5.0,13.1,-,0.0,0.4,1.5,0.1,0.2,0.9,-,0.2
"서울시",양천구,88.7,76.6,21.2,36.0,19.4,10.2,6.5,3.7,-,-,-,1.9,0.2,-,1.7,-,-,90.0,77.3,22.3,37.3,17.7,10.7,7.1,3.6,-,-,-,2.0,0.2,-,1.7,-,-,82.1,70.6,21.1,33.6,15.8,9.4,7.3,2.1,-,-,-,2.2,0.3,-,1.8,-,-
"서울시",강서구,131.3,103.7,12.5,71.0,20.2,17.7,8.6,8.8,-,-,0.3,9.9,3.1,-,3.2,3.7,-,128.7,98.8,12.4,70.2,16.2,19.7,12.2,7.0,-,-,0.5,10.2,3.6,-,3.2,2.6,0.8,122.3,93.4,11.5,65.1,16.9,16.1,9.8,6.2,-,-,0.1,12.8,5.0,1.0,2.6,3.3,0.8
"서울시",구로구,81.8,63.1,19.0,30.5,13.6,13.3,6.4,4.6,1.7,-,0.6,5.4,1.4,-,4.0,-,-,77.4,59.5,16.5,26.5,16.5,13.6,5.9,5.2,1.7,-,0.8,4.2,1.1,-,3.1,-,-,77.4,58.4,15.2,24.7,18.5,13.1,6.2,5.3,0.5,-,1.1,5.9,-,-,5.9,-,-
"서울시",금천구,55.5,44.8,27.3,10.3,7.2,9.0,4.3,4.5,-,-,0.1,1.7,-,-,1.7,-,-,55.2,43.1,25.2,9.9,7.9,9.9,4.2,4.4,1.3,-,0.1,2.2,-,-,2.2,-,-,53.1,40.9,23.8,9.7,7.3,10.1,4.4,5.6,-,-,0.1,2.2,-,-,2.2,-,-
"서울시",영등포구,131.6,94.4,48.6,29.4,16.4,22.1,7.3,14.2,0.1,-,0.5,15.1,2.2,-,12.1,-,0.8,134.8,92.9,38.7,29.2,25.1,25.8,8.6,16.9,-,-,0.3,16.1,4.1,0.1,10.8,-,1.1,133.2,89.6,40.1,26.9,22.6,28.2,9.2,18.5,-,-,0.4,15.5,5.9,0.3,8.1,-,1.3
"서울시",동작구,80.7,71.3,31.4,27.5,12.4,6.1,3.8,2.2,0.1,-,-,3.3,0.1,-,-,3.2,-,80.6,68.3,29.8,26.2,12.3,9.0,6.4,2.5,0.0,-,0.1,3.2,-,-,-,3.2,-,78.8,65.9,29.9,23.7,12.3,8.8,6.0,2.7,-,-,0.1,4.1,-,-,-,4.0,0.1
"서울시",관악구,91.8,83.2,45.7,20.5,17.0,7.5,3.8,3.6,0.1,-,-,1.1,0.6,-,0.5,-,-,92.5,82.4,42.9,18.9,20.5,8.2,4.2,3.9,0.0,-,-,1.9,-,0.1,1.9,-,-,86.0,75.6,41.6,17.7,16.3,9.3,4.4,4.9,-,-,-,1.1,0.2,-,0.9,-,-
"서울시",서초구,147.4,93.9,20.6,37.4,35.9,41.0,11.3,26.3,2.1,-,1.3,12.5,3.2,0.2,6.2,1.7,1.2,144.5,88.2,19.3,35.3,33.7,37.5,11.6,24.7,0.7,-,0.5,18.8,3.9,1.6,7.3,2.8,3.3,138.1,84.0,18.5,33.6,31.9,33.3,9.5,23.4,0.1,-,0.3,20.8,4.4,2.7,7.5,2.8,3.5
"서울시",강남구,231.1,165.8,51.4,28.2,86.2,45.6,8.9,36.0,-,-,0.7,19.7,5.6,-,10.8,-,3.3,245.4,164.8,51.1,28.0,85.7,61.9,14.1,44.0,0.6,-,3.1,18.8,4.0,0.0,10.2,-,4.6,235.3,154.9,29.4,54.2,71.2,57.0,17.3,37.0,0.7,-,2.0,23.5,4.5,1.6,10.6,-,6.8
"서울시",송파구,210.9,139.5,38.9,62.0,38.6,20.2,9.5,9.6,1.0,-,0.1,51.2,10.1,0.0,18.0,20.8,2.3,212.8,136.4,36.8,60.1,39.4,19.3,9.3,9.0,0.7,-,0.2,57.2,10.7,0.7,30.5,15.0,0.3,187.3,131.1,33.4,58.8,39.0,19.0,9.0,9.5,0.4,-,0.1,37.2,11.4,0.1,14.2,10.2,1.3
"서울시",강동구,116.6,93.6,31.0,51.3,11.3,19.2,8.6,10.4,0.1,-,-,3.8,2.4,0.2,1.2,-,-,113.1,91.6,32.5,47.7,11.4,16.7,9.5,7.2,-,-,-,4.8,2.9,0.3,1.7,-,-,105.6,88.0,32.4,44.7,10.9,14.5,9.2,5.2,-,-,-,3.1,1.8,0.2,1.1,-,-
