year,gu,waste_total,waste_per_capita,food_waste_total,recycle_rate,total_pop,households,elderly_ratio,parcel_arrival_total,arrival_per_hh,living_pop_daily_avg,day_night_ratio,biz_total,food_accom_biz,illegal_dumping_count
2020,강남구,254317,694.9,242.6,65.55362008831497,544055,234872,13.803016239166997,,,19326519.511716984,1.3281220957141893,115054,3816,22467
2020,강동구,134696,368.0,110.4,67.47119439330046,463998,196499,15.09036676882228,,,12101668.380910246,0.9158460857009806,40978,4897,8282
2020,강북구,88989,243.1,68.7,60.02876760048995,311569,145896,20.35568365273824,,,7291376.846132353,0.8971559591053502,26711,2994,9747
2020,강서구,192797,526.8,144.1,69.43105961192342,585901,266982,15.187548749703447,,,13008123.555279864,0.9480833857620464,58788,8490,362
2020,관악구,146977,401.6,94.2,70.433469182253,509803,274811,15.471662583390057,,,11695941.284345934,0.8818745928066778,38639,4050,6151
2020,광진구,125579,343.1,86.8,69.60956847880617,360109,167427,14.040193385891495,,,8816801.575294863,0.942574608013188,35423,2900,2787
2020,구로구,120646,329.6,82.2,52.34321900435987,432488,180531,16.231201790569912,,,9345964.894268217,0.9871269776222876,53547,5250,2772
2020,금천구,100451,274.5,55.0,68.76487043434112,247835,114715,16.076018318639417,,,5370923.864009409,1.1330722115310097,47354,3110,2228
2020,노원구,144500,394.8,118.4,70.97993079584775,527032,218270,16.220836685438456,,,12646522.580337346,0.9123478918017234,37442,6229,3707
2020,도봉구,110126,300.9,72.8,66.1514991918348,327361,139114,18.957359001224948,,,6763813.691947284,0.9151158767162249,25607,4751,1295
2020,동대문구,161082,440.1,90.8,75.17785972361902,357014,167598,17.309125132347752,,,8526325.052925596,0.9893692255903,43029,3762,4666
2020,동작구,118757,324.5,85.3,73.04495734988254,401572,184229,16.233701552897113,,,9487205.205558509,0.9101340219461638,28505,2189,2727
2020,마포구,134108,366.4,84.6,59.59301458525964,381858,178482,14.228063835247656,,,10893617.15736209,1.0818271743807937,58694,3917,4113
2020,서대문구,104413,285.3,63.5,61.61397527127848,322952,144838,16.783918353191808,,,8637286.653745268,1.0285623383903215,28769,3339,2521
2020,서초구,184761,504.8,155.8,59.106629645866825,429025,173502,14.024590641571006,,,13691488.965675728,1.2476279003182065,75858,4510,11031
2020,성동구,110224,301.2,77.9,67.05799100014515,300505,135870,15.175454651336915,,,8224070.54130013,1.0536701596094014,41582,2825,811
2020,성북구,132342,361.6,86.9,68.00864427014855,447056,195396,16.50128842919008,,,10258165.724366836,0.9203399264803558,34420,3446,674
2020,송파구,266247,727.5,208.5,74.37079103238722,673926,281959,13.871404278808058,,,17957026.995794434,0.9982253752656812,76412,7370,5548
2020,양천구,144360,394.4,89.0,72.47367691881408,457781,180633,14.345287375404398,,,9582607.059648553,0.9247695312078138,37183,5924,1397
2020,영등포구,164492,449.4,136.5,66.1260122072806,407367,184714,15.143101920381378,,,10959184.961894771,1.19152619825108,74060,5618,5325
2020,용산구,110255,301.2,63.7,65.47548863997098,244645,113093,16.451184369188006,,,6807828.086842029,1.1343058361765224,31507,1692,1398
2020,은평구,139243,380.4,78.4,58.60474135145034,484043,213914,17.599056282189807,,,10789094.77325016,0.8739244823254904,36273,4746,3552
2020,종로구,96692,264.2,76.1,58.08650146858064,158996,75003,17.929381871242043,,,6614565.943734429,1.4763479700011102,50531,1642,11675
2020,중구,130842,357.5,80.8,55.38053530212012,134635,63686,18.193634641809336,,,6064259.332193781,1.7470977887977486,76129,2440,6865
2020,중랑구,123561,337.6,86.7,67.12716795752705,399562,185920,17.380781956242085,,,8640617.450169815,0.8903300084984795,38558,5498,6043
2021,강남구,248001,679.5,231.1,65.16868883593212,537800,234233,14.545555968761622,,,18867242.310377467,1.3398916134444585,110007,3708,22540
2021,강동구,146616,401.7,116.6,66.70622578709009,466472,201613,15.878766571198272,,,12073116.900275504,0.9120664814682355,41660,5442,9277
2021,강북구,94407,258.6,64.3,67.58397152753504,302563,144536,21.262679177559715,,,7061560.402855322,0.897970834001465,26385,3102,5522
2021,강서구,751795,2059.7,131.3,28.31303746367028,579768,271175,15.964661726759669,,,12928754.793815644,0.956873363419925,58806,9188,402
